"X","country","survey_id","year","n_rows","n_women","mCPR","mCPR_pct","se_mCPR","se_mCPR_pct","year_first","t_rel","y","n","year_center","p_hat","y_hat","pearson_resid","p_hat_clipped","logit_mCPR"
46,"Cameroon","CM2004DHS",2004,10656,10656.01375,0.139764568152889,13.9764568152889,0.00356572878024628,0.356572878024628,1991,13,1489,10656,4,NA,NA,NA,0.139764568152889,-1.81724675875669
47,"Cameroon","CM2011DHS",2011,15426,15425.9998540002,0.161493164953842,16.1493164953842,0.00333689731441952,0.333689731441952,1991,20,2491,15426,11,NA,NA,NA,0.161493164953842,-1.64715991324616
48,"Cameroon","CM2018DHS",2018,13527,13615.6721289998,0.163836351658967,16.3836351658967,0.00375092052346647,0.375092052346647,1991,27,2231,13616,18,NA,NA,NA,0.163836351658967,-1.62995627163525
49,"Chad","TD1997DHS",1997,7454,7453.99923000007,0.0122950183079103,1.22950183079103,0.00135447147513539,0.135447147513539,1997,0,92,7454,-3,NA,NA,NA,0.0122950183079103,-4.38618988691099
50,"Chad","TD2004DHS",2004,6085,6085.00012400006,0.0151026231926498,1.51026231926498,0.00200403166790787,0.200403166790787,1997,7,92,6085,4,NA,NA,NA,0.0151026231926498,-4.17766899966136
51,"Chad","TD2014DHS",2014,17719,17718.9999810006,0.0484411769242257,4.84411769242257,0.00198176841735004,0.198176841735004,1997,17,858,17719,14,NA,NA,NA,0.0484411769242257,-2.97775129131352
52,"Colombia","CO1986DHS",1986,5329,5331.125099,0.319172991517148,31.9172991517148,0.00655529374996215,0.655529374996215,1986,0,1702,5331,-14,NA,NA,NA,0.319172991517148,-0.757574999202577
53,"Colombia","CO1990DHS",1990,8644,8489.16416999981,0.330367677999572,33.0367677999572,0.00719988823938729,0.719988823938729,1986,4,2804,8489,-10,NA,NA,NA,0.330367677999572,-0.706522578636582
54,"Colombia","CO1995DHS",1995,11140,11140.0000539996,0.394672009487241,39.4672009487241,0.00519750768665302,0.519750768665302,1986,9,4397,11140,-5,NA,NA,NA,0.394672009487241,-0.427715379972395
55,"Colombia","CO2000DHS",2000,11585,11585.0003530001,0.438395977146851,43.8395977146851,0.00491104440375818,0.491104440375818,1986,14,5079,11585,0,NA,NA,NA,0.438395977146851,-0.247674456510418
56,"Colombia","CO2005DHS",2005,38143,38355.1295639991,0.494436557080494,49.4436557080494,0.00362080130305587,0.362080130305587,1986,19,18964,38355,5,NA,NA,NA,0.494436557080494,-0.0222546901415212
57,"Colombia","CO2010DHS",2010,49562,49818.0613120055,0.568917827743032,56.8917827743032,0.0028317740530273,0.28317740530273,1986,24,28342,49818,10,NA,NA,NA,0.568917827743032,0.277437281663124
58,"Colombia","CO2015DHS",2015,35979,36299.6668360001,0.614425073645046,61.4425073645046,0.00465770717227597,0.465770717227597,1986,29,22304,36300,15,NA,NA,NA,0.614425073645046,0.465951455360822
59,"Comoros","KM1996DHS",1996,3050,3050,0.0777049180327869,7.77049180327869,0.00484740470518376,0.484740470518376,1996,0,237,3050,-4,NA,NA,NA,0.0777049180327869,-2.47394666735473
60,"Comoros","KM2012DHS",2012,5329,5328.99986799998,0.0985179320706266,9.85179320706266,0.00493126609658676,0.493126609658676,1996,16,525,5329,12,NA,NA,NA,0.0985179320706266,-2.21380156798778
61,"Congo","CG2005DHS",2005,7051,7051.00018100009,0.135050114530693,13.5050114530693,0.00485697776707054,0.485697776707054,2005,0,952,7051,5,NA,NA,NA,0.135050114530693,-1.85702564108023
62,"Congo","CG2011DHS",2011,10819,10819.0000189999,0.222894903296517,22.2894903296517,0.00611698465611123,0.611698465611123,2005,6,2411,10819,11,NA,NA,NA,0.222894903296517,-1.24887522610925
63,"Congo Democratic Republic","CD2007DHS",2007,9995,9994.99998200028,0.0665464001198416,6.65464001198416,0.003558944346202,0.3558944346202,2007,0,665,9995,7,NA,NA,NA,0.0665464001198416,-2.64099180569513
64,"Congo Democratic Republic","CD2013DHS",2013,18827,18826.9998949995,0.0812112332568767,8.12112332568767,0.00273778565233261,0.273778565233261,2007,6,1529,18827,13,NA,NA,NA,0.0812112332568767,-2.42600266653003
65,"Congo Democratic Republic","CD2023DHS",2023,27583,27582.9996939992,0.0989393506970059,9.89393506970059,0.00275990217119136,0.275990217119136,2007,16,2729,27583,23,NA,NA,NA,0.0989393506970059,-2.20906552548016
66,"Cote d'Ivoire","CI1994DHS",1994,8099,8099.00078500041,0.0568253152725158,5.68253152725158,0.0026779563160145,0.26779563160145,1994,0,460,8099,-6,NA,NA,NA,0.0568253152725158,-2.80926959123771
67,"Cote d'Ivoire","CI1998DHS",1998,3040,3039.999681,0.0982251662282331,9.82251662282331,0.00619948716178268,0.619948716178268,1994,4,299,3040,-2,NA,NA,NA,0.0982251662282331,-2.21710240117098
68,"Cote d'Ivoire","CI2012DHS",2012,10060,10059.9998859999,0.13917434610993,13.917434610993,0.00439435244985656,0.439435244985656,1994,18,1400,10060,12,NA,NA,NA,0.13917434610993,-1.82216455561643
69,"Cote d'Ivoire","CI2021DHS",2021,14877,14876.9999340002,0.190186155243145,19.0186155243145,0.0043347821312947,0.43347821312947,1994,27,2829,14877,21,NA,NA,NA,0.190186155243145,-1.4488010430235
70,"Dominican Republic","DR1986DHS",1986,7645,7645.25216000059,0.291494504479473,29.1494504479473,0.00603533677838616,0.603533677838616,1986,0,2228,7645,-14,NA,NA,NA,0.291494504479473,-0.88813666260222
71,"Dominican Republic","DR1991DHS",1991,7320,7320.00007799991,0.338782235597682,33.8782235597682,0.00746734691581972,0.746734691581972,1986,5,2480,7320,-9,NA,NA,NA,0.338782235597682,-0.668725704395712
72,"Dominican Republic","DR1996DHS",1996,8422,8421.9996910001,0.413284115733185,41.3284115733185,0.006268723817529,0.6268723817529,1986,10,3481,8422,-4,NA,NA,NA,0.413284115733185,-0.350405401479897
73,"Dominican Republic","DR1999DHS",1999,1286,1286.00003700001,0.455730354695157,45.5730354695157,0.0161560207959215,1.61560207959215,1986,13,586,1286,-1,NA,NA,NA,0.455730354695157,-0.17754348837918
