"X","country","survey_id","year","n_rows","n_women","mCPR","mCPR_pct","se_mCPR","se_mCPR_pct","year_first","t_rel","y","n","year_center","p_hat","y_hat","pearson_resid","p_hat_clipped","logit_mCPR","row_id","region","region_prior","s_region_fixed","prob_error","prev_year","prev_mcpr","obs_growth_annual","interval_mid_year"
181,"Mozambique","MZ2011DHS",2011,13745,13745.0000900007,0.12080490666624,12.080490666624,0.00337241286938405,0.337241286938405,1997,14,1660,13745,11,0.190772032336486,2622.161584465,-20.8873260396641,0.190772032336486,-1.98482991946943,181,"East/Southern Africa","ESA",7.23239055102267,-0.069967125670246,2003,0.216111589827255,-0.0119133353951269,2007
182,"Mozambique","MZ2022DHS",2022,13183,13182.9999619999,0.250311161307126,25.0311161307126,0.00479693523153028,0.479693523153028,1997,25,3300,13183,22,0.220407940876,2905.63788456831,8.28592006927797,0.220407940876,-1.09695344953829,182,"East/Southern Africa","ESA",7.23239055102267,0.0299032204311258,2011,0.12080490666624,0.0117732958764442,2016.5
184,"Namibia","NM2000DHS",2000,6755,6754.9998880001,0.370833849523813,37.0833849523813,0.00743973938790939,0.743973938790939,1992,8,2505,6755,0,0.366731839565976,2477.27357626817,0.700024184684358,0.366731839565976,-0.52864125467389,184,"East/Southern Africa","ESA",7.23239055102267,0.00410200995783705,1992,0.21435211963797,0.0195602162357304,1996
185,"Namibia","NM2006DHS",2006,9804,9803.99998999998,0.456607828801105,45.6607828801105,0.00605434210240539,0.605434210240539,1992,14,4477,9804,6,0.449406998536482,4405.98621365167,1.44180244888799,0.449406998536482,-0.174006410007977,185,"East/Southern Africa","ESA",7.23239055102267,0.00720083026462254,2000,0.370833849523813,0.014295663212882,2003
186,"Namibia","NM2013DHS",2013,9176,9176.00018399997,0.497159535693403,49.7159535693403,0.00606393351871721,0.606393351871721,1992,21,4562,9176,13,0.503941219459073,4624.16462975646,-1.29795649803513,0.503941219459073,-0.0113619794556379,186,"East/Southern Africa","ESA",7.23239055102267,-0.00678168376567034,2006,0.456607828801105,0.005793100984614,2009.5
196,"Niger","NI1998DHS",1998,7577,7577.00038199985,0.0441174128477172,4.41174128477172,0.00248943302942166,0.248943302942166,1992,6,334,7577,-2,0.0372416241253298,282.179785997624,3.14396425315917,0.0372416241253298,-3.07578053504752,196,"West Africa","WAF",13.006980724418,0.00687578872238741,1992,0.023110198711375,0.00350120235605703,1995
197,"Niger","NI2006DHS",2006,9223,9222.999958,0.0454098738921408,4.54098738921408,0.00259250508778971,0.259250508778971,1992,14,419,9223,6,0.0654827303091873,603.947221641634,-7.78492892608109,0.0654827303091873,-3.04555249302033,197,"West Africa","WAF",13.006980724418,-0.0200728564170465,1998,0.0441174128477172,0.000161557630552951,2002
198,"Niger","NI2012DHS",2012,11160,11160.000092,0.109933234846429,10.9933234846429,0.00345253883875432,0.345253883875432,1992,20,1227,11160,12,0.0977076647154885,1090.41753822485,4.35436557751121,0.0977076647154885,-2.0914232513605,198,"West Africa","WAF",13.006980724418,0.0122255701309405,2006,0.0454098738921408,0.0107538934923814,2009
200,"Nigeria","NG2003DHS",2003,7620,7620.00013899997,0.0892770221247372,8.92770221247372,0.0041218125431159,0.41218125431159,1990,13,680,7620,3,0.0838489283572817,638.928834082487,1.69756823784851,0.0838489283572817,-2.32249462152028,200,"West Africa","WAF",13.006980724418,0.00542809376745547,1990,0.0375147532586388,0.00398171298969988,1996.5
201,"Nigeria","NG2008DHS",2008,33385,33384.9998909989,0.10487774993056,10.487774993056,0.00181186048694529,0.181186048694529,1990,18,3501,33385,8,0.0968140159743666,3232.13592330423,4.97621775676153,0.0968140159743666,-2.14416491572937,201,"West Africa","WAF",13.006980724418,0.00806373395619338,2003,0.0892770221247372,0.00312014556116456,2005.5
